Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-264.253	-354.4782	90.22518	0.00165066	0.00160142	0.00396973	0.00273946	0.0112524	0.00166081	0.00132843	0.00159422	0.0104457	0.000637066	0.00664367	0.00902652	0.00278219	0.000901872	0.00715028	0.0120895	0.000738965	0.00495881	0.00369874	0.00353691	0.00123171	0.00434581	0.00373731	0.00015273	0.0013852	0.00290042	0.00813234	0.00237696	0.00191346	0.00088867	0.00938608	0.00574788	0.00317339	0.00088121	0.00240108	0.00152726	0.0032017	0.00135693	0.00887235	0.00074095	0.0143867	0.001398	0.000157671	0.0111791	0.00290048	0.00628933	0.0201714	0.00346137	0.00749624	0.0102224	0.00186624	0.00888752	0.00102306	0.0271854	0.0203777	0.00262739	0.0122137	0.0076697	0.00113335	0.0154607	0.00987507	0.4041736	1.595826	0.104567	0.332473	0.709246	1.40995	3.00777	9.56327	1.632639	3.948368	0.0048729	0.00472752	0.011719	0.00808711	0.0332181	0.00490285	0.00392164	0.00470628	0.0308365	0.00188067	0.0196127	0.0266471	0.00821325	0.0026624	0.0211082	0.0356894	0.00218149	0.0146388	0.010919	0.0104413	0.00363612	0.0128292	0.0110329	0.000450872	0.00408923	0.00856228	0.0240074	0.00701698	0.00564869	0.00262343	0.0277085	0.0169682	0.00936811	0.00260141	0.0070882	0.00450862	0.00945169	0.00400579	0.0261919	0.00218735	0.0424708	0.004127	0.000465458	0.0330018	0.00856246	0.0185666	0.0595478	0.0102183	0.0221296	0.0301775	0.00550931	0.0262367	0.00302016	0.0802536	0.0601569	0.00775627	0.036056	0.0226416	0.00334575	0.0456414	0.029152	0.4522	0.5478	0.4522004	0.3387435
36	-261.3965	-351.7254	90.32897	0.0161604	0.000749327	0.00205869	0.00217759	0.0037507	0.00297439	0.00194162	0.000945686	0.0203024	0.00486196	0.0084466	0.00194339	0.02275	0.00407795	0.00132507	0.00815104	0.00187785	0.0168479	0.0100806	0.00113706	0.00561086	0.00557823	0.00629177	0.00369201	0.00390161	0.00157476	0.00591401	0.000662301	0.00161345	0.00387839	0.022364	0.00651099	0.00235295	0.000517991	0.00122021	0.00885606	0.013853	0.000481533	0.0197741	0.0035028	0.00750836	0.00165019	0.00612455	0.0148858	0.00983638	0.00278299	0.0346064	0.00577737	0.0444403	0.0262801	0.00912339	0.00360044	0.01683	0.0211399	0.00727806	0.0362465	0.00325962	0.00266147	0.00505773	0.0157836	0.009594	0.4110231	1.588977	0.106171	0.33495	0.71089	1.40669	2.98552	9.41878	1.621631	3.865907	0.0301963	0.00140014	0.00384673	0.00406891	0.00700831	0.00555776	0.00362798	0.00176705	0.0379357	0.00908475	0.0157828	0.00363129	0.0425093	0.0076198	0.00247594	0.0152305	0.00350883	0.0314809	0.0188359	0.00212465	0.0104841	0.0104231	0.0117564	0.00689865	0.0072903	0.0029425	0.0110505	0.00123753	0.00301479	0.00724691	0.041788	0.012166	0.00439657	0.000967884	0.00228001	0.0165479	0.0258849	0.000899762	0.0369486	0.00654511	0.0140296	0.00308343	0.0114439	0.0278146	0.0183796	0.00520012	0.0646633	0.0107952	0.0830383	0.0491053	0.0170474	0.00672756	0.0314475	0.0395006	0.0135993	0.0677278	0.00609071	0.00497306	0.00945055	0.0294922	0.0179267	0.333681	0.666319	0.3336806	0.5351785
72	-261.1057	-351.6157	90.51002	0.00387057	0.0175335	0.00143267	0.00208964	0.0108746	0.00522733	0.00154493	0.00283276	0.0279622	0.00234536	0.0067385	0.00435513	0.0255873	7.30604e-05	0.0025675	0.000137332	0.0156703	0.0124008	0.00936521	0.000324097	0.0152099	0.0255192	0.0100893	0.00466403	0.00986463	0.0199484	0.00976451	0.00737469	0.00672335	0.0048024	0.0355738	0.00629727	0.000916046	0.0108315	0.00307657	0.00479099	0.0217509	0.0136805	0.0273017	0.0082884	0.0580659	0.0230711	0.00166756	0.0273926	0.0141415	0.00789891	0.0359393	0.015217	0.0496094	0.0339777	0.00149001	0.021808	0.00434715	0.0290283	0.0229115	0.00371314	0.00843572	0.00577947	0.0093364	0.0052138	0.000274029	0.3658777	1.634122	0.20875	0.465779	0.787913	1.26918	2.14694	4.79043	1.132774	4.466307	0.00497043	0.0225158	0.00183978	0.00268343	0.0139647	0.00671273	0.00198393	0.00363771	0.0359079	0.00301181	0.00865331	0.00559268	0.0328582	9.38211e-05	0.00329708	0.000176357	0.0201231	0.0159247	0.0120264	0.000416192	0.019532	0.0327707	0.0129563	0.00598936	0.0126678	0.0256169	0.0125392	0.00947027	0.00863385	0.00616705	0.0456824	0.0080867	0.00117635	0.0139093	0.00395081	0.0061524	0.0279317	0.017568	0.0350598	0.0106436	0.0745659	0.0296269	0.00214142	0.0351764	0.01816	0.0101435	0.0461518	0.0195411	0.0637064	0.0436328	0.00191341	0.028005	0.00558243	0.037277	0.029422	0.00476826	0.0108328	0.00742177	0.0119894	0.00669535	0.000351897	0.55449	0.44551	0.5544904	0.7787195
108	-255.8096	-345.6126	89.80308	0.0171658	0.0052082	0.0172737	0.00279288	0.00501588	0.000937207	0.00276541	0.02129	0.0115237	0.00853105	0.008835	0.00384767	0.031079	0.000409026	0.00941236	0.00023877	0.000654419	0.000380235	0.0279548	0.00101533	0.00620541	0.00252537	0.0031962	0.00484331	0.00356215	0.0232859	0.00408261	0.00564414	0.00560335	0.00463176	0.011593	0.0284797	0.0135753	0.00586487	0.00718077	0.00383433	0.0118125	0.00317178	0.0291107	0.00612567	0.0504574	0.000721323	0.000920175	0.0322912	0.0134508	0.00895856	0.0631673	0.0184668	0.0765874	0.00751782	0.0236338	0.018809	0.00592001	0.0236136	0.0341697	0.0106156	0.00199287	3.52015e-05	0.00165718	0.00449269	0.0119552	0.2367084	1.763292	0.215375	0.472931	0.791668	1.26316	2.11447	4.64306	1.110181	7.449214	0.0222906	0.00676309	0.0224307	0.00362668	0.00651334	0.001217	0.00359101	0.027646	0.0149641	0.011078	0.0114726	0.00499637	0.0403575	0.000531139	0.0122224	0.000310053	0.000849792	0.000493752	0.0363006	0.00131846	0.008058	0.00327931	0.00415041	0.00628925	0.00462562	0.0302378	0.00530145	0.00732917	0.00727619	0.00601455	0.015054	0.0369822	0.0176281	0.00761579	0.00932455	0.00497905	0.015339	0.0041187	0.0378015	0.00795446	0.0655212	0.00093667	0.00119489	0.0419315	0.0174665	0.0116331	0.0820255	0.0239799	0.0994522	0.00976222	0.0306895	0.0244243	0.00768739	0.0306633	0.0443708	0.0137849	0.00258783	4.57107e-05	0.00215192	0.00583396	0.0155243	0.659577	0.340423	0.6595775	0.7700928
144	-264.1072	-355.5007	91.39342	0.00154207	0.00835176	0.00021324	0.00497532	0.00176693	0.00527996	0.0086116	0.00864603	0.0500372	0.00278305	0.00175497	0.000236637	0.0320727	0.000311456	0.00520045	0.00177086	0.0045564	0.000680451	0.00505715	0.00611429	0.00724264	0.008119	0.000454869	0.00222659	0.00835236	0.00387258	0.0246744	0.00607158	0.000285902	0.00571639	0.0126707	0.00884177	0.00156961	0.00366189	0.0051746	0.00870772	0.00155289	0.0123677	0.0212865	0.00429442	0.0213542	0.0036617	0.0123026	0.00290879	0.00215204	0.00132224	0.0381187	0.00523773	0.0271271	0.0233667	0.00436391	0.0111645	0.00607655	0.0030033	0.0201958	0.025035	0.00186472	0.00311543	0.00108244	0.00443923	0.00894655	0.6348413	1.365159	0.165589	0.416025	0.760628	1.3147	2.4037	6.03905	1.300257	2.150393	0.00294319	0.0159401	0.000406989	0.00949587	0.00337235	0.0100773	0.016436	0.0165018	0.0955006	0.0053117	0.00334952	0.000451644	0.0612137	0.000594443	0.00992555	0.00337985	0.00869632	0.00129871	0.00965205	0.0116697	0.0138233	0.0154959	0.000868161	0.00424966	0.0159413	0.00739118	0.0470934	0.0115882	0.000545671	0.0109103	0.0241833	0.0168753	0.00299575	0.00698907	0.00987621	0.0166195	0.00296384	0.0236049	0.0406274	0.00819631	0.0407566	0.00698869	0.0234807	0.0055517	0.00410736	0.00252361	0.0727531	0.00999671	0.0517747	0.0445975	0.00832893	0.0213086	0.0115977	0.00573208	0.0385456	0.0477817	0.00355898	0.00594609	0.00206594	0.00847269	0.0170753	0.414166	0.585834	0.4141659	0.5239459
180	-260.3871	-350.5187	90.1316	0.00366249	0.0208193	0.000658035	0.0327956	0.0211018	0.0232367	0.00302746	0.0135022	0.0214683	0.00251437	0.0255631	0.00655001	0.00671619	0.00383881	0.00865118	0.00551017	0.00665077	0.00503905	0.0133194	0.00140262	0.00581186	0.0125177	0.00309415	0.00991507	0.0156724	0.0148743	0.00709662	0.0279079	0.00352826	0.000999476	0.00584144	0.0232804	0.00735548	0.00226599	0.00691757	0.00833233	0.00890013	0.0105176	0.0154533	0.0124474	0.0344234	0.00925753	0.00334084	0.0154856	0.00180909	0.0106301	0.0928588	0.0015359	0.0629398	0.0250262	0.00119338	0.0416579	0.00198162	0.00521613	0.0246363	0.0176371	0.00117712	0.0257008	0.00334913	0.00164603	0.0070733	0.3515655	1.648435	0.141242	0.384978	0.742444	1.3469	2.59755	7.08004	1.415248	4.688841	0.00448103	0.0254722	0.0008051	0.0401251	0.0258179	0.0284299	0.00370407	0.0165198	0.0262663	0.00307631	0.0312762	0.00801388	0.0082172	0.00469675	0.0105847	0.00674165	0.00813716	0.00616524	0.0162961	0.0017161	0.00711077	0.0153153	0.00378566	0.012131	0.0191751	0.0181985	0.00868265	0.034145	0.0043168	0.00122285	0.00714696	0.0284834	0.00899937	0.00277242	0.00846359	0.0101945	0.0108892	0.0128682	0.018907	0.0152293	0.0421167	0.0113265	0.00408749	0.0189465	0.00221341	0.0130059	0.113612	0.00187916	0.0770063	0.0306193	0.00146009	0.0509681	0.0024245	0.00638189	0.0301423	0.0215788	0.00144019	0.0314447	0.00409763	0.0020139	0.00865412	0.4005	0.5995	0.4005	0.8173328
216	-260.8693	-351.6319	90.76256	0.000555738	0.00234982	0.00491268	0.0198729	0.00373216	0.0125865	0.00179339	0.00654877	0.00994317	0.00377241	0.000850766	0.00280128	0.0216797	0.00126552	0.0120362	0.0112803	0.0067677	0.00868634	0.00122595	0.00456553	0.00261767	0.00514963	0.00542376	0.000508319	0.0108637	0.00338681	0.00825978	0.00224419	0.00128804	0.00116697	0.0110349	0.0264615	0.00689842	0.0265318	0.0033431	0.0018333	0.0076714	0.00500194	0.0102671	0.0113728	2.21462e-05	0.00135505	0.0224065	0.00172558	0.00579472	0.00130432	0.00772516	0.0156843	0.00470316	0.0235708	0.0384909	0.0063232	0.000912225	0.00904129	0.000677689	0.00432747	0.0324951	0.0112572	0.00871212	0.0211803	0.00639613	0.416558	1.583442	0.186927	0.441359	0.774786	1.29068	2.26573	5.3497	1.212615	3.801252	0.00108403	0.0045836	0.00958278	0.0387645	0.00728004	0.0245516	0.00349823	0.0127742	0.0193954	0.00735854	0.00165952	0.00546423	0.0422888	0.00246855	0.0234781	0.0220036	0.0132012	0.0169438	0.00239135	0.00890561	0.00510607	0.010045	0.0105797	0.000991537	0.0211909	0.00660638	0.0161117	0.00437757	0.00251247	0.00227631	0.0215248	0.0516164	0.0134562	0.0517535	0.00652112	0.00357607	0.014964	0.00975689	0.0200272	0.0221841	4.31987e-05	0.00264319	0.0437065	0.00336595	0.0113033	0.00254423	0.0150689	0.0305941	0.00917408	0.0459777	0.0750811	0.0123342	0.00177941	0.0176361	0.00132191	0.00844125	0.0633856	0.0219585	0.0169941	0.0413148	0.0124764	0.483753	0.516247	0.4837528	0.5126573
252	-272.2393	-362.8228	90.5835	0.00675086	0.016221	0.00725746	0.0389159	0.0184214	0.0086599	0.000668932	0.0215162	0.0223077	0.0131644	0.000177203	0.00244167	0.00675229	0.00642745	0.00223696	0.00337207	0.025636	0.0153473	0.00340201	0.00553867	0.00588052	0.000242814	0.000239076	0.00810079	0.00773853	0.00196295	0.00342689	0.000996471	0.00396616	0.0102739	0.00387728	0.00757038	0.0199175	0.0530358	0.0102605	0.0131188	0.00905368	0.002704	0.00748966	0.017437	0.00153065	0.0127946	0.0303538	0.010519	0.0126632	0.00315385	0.0258348	0.0377972	0.048077	0.0133622	0.0720368	0.0225479	0.0150741	0.00555767	0.0017631	0.00176939	0.0227654	0.0276716	0.0241371	0.00636927	0.00384358	0.3332879	1.666712	0.297109	0.553274	0.831385	1.20281	1.80742	3.36576	0.8775562	5.000818	0.00831253	0.0199734	0.00893633	0.0479183	0.0226828	0.0106632	0.000823676	0.0264936	0.0274681	0.0162097	0.000218196	0.0030065	0.00831429	0.00791431	0.00275443	0.00415213	0.0315664	0.0188976	0.004189	0.00681993	0.00724086	0.000298984	0.000294381	0.00997475	0.00952868	0.00241704	0.00421963	0.00122698	0.00488365	0.0126505	0.00477421	0.00932164	0.024525	0.0653046	0.012634	0.0161535	0.0111481	0.00332952	0.00922225	0.0214707	0.00188474	0.0157544	0.0373756	0.0129523	0.0155925	0.00388343	0.0318112	0.0465408	0.0591986	0.0164533	0.0887011	0.0277639	0.0185612	0.00684332	0.00217095	0.0021787	0.0280317	0.0340728	0.0297208	0.00784267	0.00473272	0.724682	0.275318	0.7246816	0.8121302
288	-261.8581	-352.2091	90.35097	0.00231483	0.00567266	0.0159329	0.00869774	0.015291	0.00617436	0.000944461	0.0159424	0.0134382	0.014318	0.00209028	0.0131188	0.0190897	0.0143112	0.0078973	0.00961834	0.0085931	0.00247421	0.00266963	0.00846138	0.0123363	0.00879541	0.000334181	0.0139728	0.0178528	0.00399328	0.0187167	0.00248234	0.00377767	0.00970966	0.00743065	0.0346403	0.00870032	0.00598573	0.0100104	0.00342005	0.00734119	0.000866919	0.00570147	0.0166825	0.0095135	0.0146031	0.0247487	0.00516188	0.000968016	0.0109673	0.0317949	0.0564635	0.0128143	0.0166059	0.0380504	0.00793759	0.0253097	0.0131689	0.000860304	0.0131422	0.0152478	0.0251175	0.0335497	0.0112914	0.0135248	0.34744	1.65256	0.185663	0.439902	0.773987	1.29201	2.27324	5.3861	1.217519	4.756389	0.00304326	0.00745773	0.0209467	0.0114347	0.0201027	0.00811729	0.00124166	0.0209592	0.0176669	0.0188236	0.00274805	0.017247	0.0250967	0.0188146	0.0103824	0.012645	0.0112972	0.00325279	0.0035097	0.011124	0.0162183	0.0115631	0.00043934	0.0183697	0.0234707	0.00524987	0.0246064	0.00326348	0.00496642	0.0127651	0.00976891	0.0455409	0.0114381	0.00786931	0.0131604	0.00449627	0.0096513	0.00113972	0.0074956	0.0219322	0.0125072	0.0191984	0.0325366	0.00678621	0.00127263	0.0144185	0.0418	0.0742313	0.0168466	0.0218314	0.050024	0.0104354	0.0332741	0.0173129	0.00113102	0.0172778	0.0200459	0.0330214	0.044107	0.0148446	0.0177807	0.404962	0.595038	0.4049622	0.7606425
324	-267.0473	-358.3028	91.25553	0.00733714	0.0128247	0.00265406	0.0185885	0.00933272	0.0137744	0.0111189	0.0123446	0.0275521	0.0118471	0.00597089	0.00481516	0.0318746	0.029764	0.0158756	0.00661459	0.0219425	0.00409116	0.0164305	0.00229045	0.00119121	0.00338682	0.00139865	0.0178348	0.00995596	0.00523137	0.0150793	0.0035183	0.0136837	0.00374329	0.0116357	0.00312466	0.00995069	0.00483521	0.0062357	0.00622231	0.00569068	0.0126179	0.0217552	0.0207546	0.000282462	0.0188138	0.0406579	0.00409023	0.00123768	0.00281606	0.0091661	0.0279081	0.0329208	0.0293662	0.022434	0.00738517	0.0341961	0.0147312	0.00137616	0.00727807	0.0456593	0.00801663	0.0331141	0.0103921	0.00453036	0.4644756	1.535524	0.343429	0.593781	0.849915	1.17659	1.68412	2.91181	0.7727987	3.305931	0.00915698	0.0160056	0.00331235	0.0231991	0.0116475	0.0171908	0.0138768	0.0154065	0.0343859	0.0147856	0.00745186	0.00600946	0.0397805	0.0371464	0.0198132	0.00825521	0.0273849	0.00510589	0.0205057	0.00285855	0.00148667	0.00422686	0.00174556	0.0222584	0.0124254	0.00652891	0.0188194	0.00439094	0.0170776	0.00467174	0.0145217	0.00389967	0.0124188	0.0060345	0.00778235	0.00776564	0.00710215	0.0157475	0.0271511	0.0259024	0.000352522	0.0234802	0.0507423	0.00510474	0.00154466	0.00351453	0.0114396	0.0348301	0.0410862	0.03665	0.0279983	0.00921692	0.0426778	0.018385	0.00171748	0.00908325	0.0569842	0.010005	0.0413274	0.0129697	0.00565403	0.318223	0.681777	0.3182227	0.8012621
